timestamp,price,date
1691539200000,95.96339431151263,2023-08-09
1691625600000,95.51232363341072,2023-08-10
1691712000000,96.44369982702993,2023-08-11
1691798400000,96.35610634418578,2023-08-12
1691884800000,96.65373162757649,2023-08-13
1691971200000,96.8538268055044,2023-08-14
1692057600000,95.22059507768574,2023-08-15
1692144000000,94.10615391168581,2023-08-16
1692230400000,93.62767116672032,2023-08-17
1692316800000,85.75809274697923,2023-08-18
1692403200000,84.59694712767255,2023-08-19
1692489600000,84.71294167123594,2023-08-20
1692576000000,85.1170027323606,2023-08-21
1692662400000,84.58886225792517,2023-08-22
1692748800000,83.51066677106895,2023-08-23
1692835200000,85.44942720940692,2023-08-24
1692921600000,84.50952657019091,2023-08-25
1693008000000,84.12943427717684,2023-08-26
1693094400000,83.97255276099,2023-08-27
1693180800000,84.91224072002973,2023-08-28
1693267200000,84.1674462505481,2023-08-29
1693353600000,88.87477371417401,2023-08-30
1693440000000,87.48519453495977,2023-08-31
1693526400000,83.52453042637325,2023-09-01
1693612800000,83.09169924159303,2023-09-02
1693699200000,83.18346014993845,2023-09-03
1693785600000,83.46436452625487,2023-09-04
1693872000000,83.04456667309246,2023-09-05
1693958400000,83.08355027523689,2023-09-06
1694044800000,82.89047478152689,2023-09-07
1694131200000,84.13454419733071,2023-09-08
1694217600000,83.33791321268376,2023-09-09
1694304000000,85.53584161272666,2023-09-10
1694390400000,82.64061689802493,2023-09-11
1694476800000,80.15101096864406,2023-09-12
1694563200000,81.23031854911363,2023-09-13
1694649600000,83.28175233826457,2023-09-14
1694736000000,84.3532190967435,2023-09-15
1694822400000,84.86484395244197,2023-09-16
1694908800000,84.57951553555228,2023-09-17
1694995200000,84.1772021001533,2023-09-18
1695081600000,85.07746460177066,2023-09-19
1695168000000,86.22822033654059,2023-09-20
1695254400000,86.0228605051945,2023-09-21
1695340800000,83.87517423486148,2023-09-22
1695427200000,84.11482252359033,2023-09-23
1695513600000,83.99783643058908,2023-09-24
1695600000000,83.04837858785196,2023-09-25
1695686400000,83.06392006957566,2023-09-26
1695772800000,82.88769307033775,2023-09-27
1695859200000,86.78788516564286,2023-09-28
1695945600000,85.77351412960857,2023-09-29
1696032000000,85.89769225269617,2023-09-30
1696118400000,86.22223160267598,2023-10-01
1696204800000,89.3093282927891,2023-10-02
1696291200000,89.20692006746195,2023-10-03
1696377600000,89.06304939536928,2023-10-04
1696464000000,87.65343210923544,2023-10-05
1696550400000,86.40316224922128,2023-10-06
1696636800000,88.0935327328797,2023-10-07
1696723200000,89.53493997078081,2023-10-08
1696809600000,87.81715707184587,2023-10-09
1696896000000,86.00018618843328,2023-10-10
1696982400000,85.38130833702294,2023-10-11
1697068800000,84.24172925740854,2023-10-12
1697155200000,83.45415550801683,2023-10-13
1697241600000,83.90501503803374,2023-10-14
1697328000000,84.15582608235218,2023-10-15
1697414400000,84.64199666399671,2023-10-16
1697500800000,88.93145986214275,2023-10-17
1697587200000,87.78818704503671,2023-10-18
1697673600000,87.13534561726145,2023-10-19
1697760000000,88.24175182461387,2023-10-20
1697846400000,90.90442843017375,2023-10-21
1697932800000,92.36358744242709,2023-10-22
1698019200000,93.49373020211083,2023-10-23
1698105600000,100.293906846632,2023-10-24
1698192000000,103.09002685972389,2023-10-25
1698278400000,104.47590695831337,2023-10-26
1698364800000,104.27338042554113,2023-10-27
1698451200000,103.32403127516362,2023-10-28
1698537600000,103.74368975543294,2023-10-29
1698624000000,106.73551861507761,2023-10-30
1698710400000,105.31713414648429,2023-10-31
1698796800000,105.873318491403,2023-11-01
1698883200000,108.14897907926449,2023-11-02
1698969600000,106.60017339140828,2023-11-03
1699056000000,106.50032172915347,2023-11-04
1699142400000,107.792574784222,2023-11-05
1699228800000,108.41454220765654,2023-11-06
1699315200000,109.20649682990147,2023-11-07
1699401600000,109.59654599476207,2023-11-08
1699488000000,109.8133107833142,2023-11-09
1699574400000,115.17098896380305,2023-11-10
1699660800000,116.65538527237366,2023-11-11
1699747200000,116.08920249448255,2023-11-12
1699833600000,116.04350395566428,2023-11-13
1699920000000,114.49428249405211,2023-11-14
1700006400000,111.35683289613547,2023-11-15
1700092800000,118.28031025975302,2023-11-16
1700179200000,112.22188780479408,2023-11-17
1700265600000,113.46763728563714,2023-11-18
1700352000000,113.80389826034235,2023-11-19
1700438400000,116.31169885098299,2023-11-20
1700524800000,116.42654197928287,2023-11-21
1700611200000,111.39397448447393,2023-11-22
1700697600000,116.52088765357873,2023-11-23
1700784000000,116.20857357437214,2023-11-24
1700870400000,117.28246995091075,2023-11-25
1700956800000,119.21624784012245,2023-11-26
1701043200000,111.7067637849444,2023-11-27
1701129600000,115.03812787853454,2023-11-28
1701216000000,116.97770602777882,2023-11-29
1701302400000,116.9814816422867,2023-11-30
1701388800000,116.87494165251734,2023-12-01
1701475200000,121.84957023189732,2023-12-02
1701561600000,123.90473431146043,2023-12-03
1701648000000,124.24626276633519,2023-12-04
1701734400000,129.03548664400685,2023-12-05
1701820800000,134.13867544863123,2023-12-06
1701907200000,132.90428717115316,2023-12-07
1701993600000,133.82829115998572,2023-12-08
1702080000000,136.50430061538586,2023-12-09
1702166400000,135.05767234866858,2023-12-10
1702252800000,175.97353382775518,2023-12-11
1702339200000,129.19151415277463,2023-12-12
1702425600000,128.77024014347015,2023-12-13
1702512000000,132.5879888246593,2023-12-14
1702598400000,133.78190225465616,2023-12-15
1702684800000,129.81749399559865,2023-12-16
1702771200000,137.20554097086855,2023-12-17
1702857600000,132.42956498867053,2023-12-18
1702944000000,131.41296365276972,2023-12-19
