timestamp,price
2023-08-06,1835.0705778421902
2023-08-07,1826.7067792702178
2023-08-08,1826.9334855730522
2023-08-09,1856.8441445120409
2023-08-10,1855.8907273266504
2023-08-11,1850.8769886993493
2023-08-12,1847.5418351143242
2023-08-13,1848.505238656101
2023-08-14,1839.5128095422053
2023-08-15,1843.5133910053466
2023-08-16,1826.9131281594616
2023-08-17,1809.4604742643007
2023-08-18,1675.8621709457839
2023-08-19,1660.6791095302815
2023-08-20,1669.233454808334
2023-08-21,1682.461825140931
2023-08-22,1666.8404654985097
2023-08-23,1635.191294137295
2023-08-24,1679.123993491918
2023-08-25,1658.3996538851384
2023-08-26,1653.4293196573105
2023-08-27,1645.9049996794286
2023-08-28,1656.9310584772875
2023-08-29,1653.198566161456
2023-08-30,1730.1902578762465
2023-08-31,1705.1081032258105
2023-09-01,1645.1815254166893
2023-09-02,1630.6058904999302
2023-09-03,1636.1621989563407
2023-09-04,1635.4030431134638
2023-09-05,1630.6275466678564
2023-09-06,1633.077003857269
2023-09-07,1632.9024163463462
2023-09-08,1646.3050827277937
2023-09-09,1636.354258593187
2023-09-10,1634.4459462937054
2023-09-11,1617.486179584741
2023-09-12,1549.8934231592937
2023-09-13,1594.9745013935253
2023-09-14,1607.736697039678
2023-09-15,1626.436340686946
2023-09-16,1641.9347582842215
2023-09-17,1634.4198849990876
2023-09-18,1622.47877705834
2023-09-19,1636.6346089914616
2023-09-20,1643.69841825706
2023-09-21,1621.5329552921687
2023-09-22,1583.824247006604
2023-09-23,1593.47015355046
2023-09-24,1593.1799744357936
2023-09-25,1580.4777945863666
2023-09-26,1588.4711834402021
2023-09-27,1592.4861256187212
2023-09-28,1597.4168102614992
2023-09-29,1652.196396535431
2023-09-30,1667.9888487709648
2023-10-01,1670.9989557571496
2023-10-02,1733.8180349156962
2023-10-03,1665.2764251106737
2023-10-04,1656.3220030722484
2023-10-05,1648.1933725281149
2023-10-06,1612.9948892467298
2023-10-07,1646.393402292886
2023-10-08,1635.0828552489816
2023-10-09,1634.2216551482747
2023-10-10,1580.1777604853462
2023-10-11,1567.4582264892952
2023-10-12,1564.9162030441025
2023-10-13,1536.812804708381
2023-10-14,1550.9668729956575
2023-10-15,1555.4562079337263
2023-10-16,1557.7608092483292
2023-10-17,1601.2321896426622
2023-10-18,1565.060587724063
2023-10-19,1564.0711872017082
2023-10-20,1568.3746833451946
2023-10-21,1603.9099355967796
2023-10-22,1629.2955293417388
2023-10-23,1664.5706380939323
2023-10-24,1764.9303085804013
2023-10-25,1784.773410988584
2023-10-26,1785.555149097494
2023-10-27,1804.1617691384567
2023-10-28,1780.5704118622923
2023-10-29,1776.3535658345309
2023-10-30,1798.1654135455137
2023-10-31,1809.639301345049
2023-11-01,1816.803148929945
2023-11-02,1846.482230513473
2023-11-03,1800.9071798806326
2023-11-04,1834.1730567056395
2023-11-05,1855.454385276214
2023-11-06,1895.9380660074166
2023-11-07,1898.5182255844231
2023-11-08,1887.315321843377
2023-11-09,1891.491779137154
2023-11-10,2128.6095039438633
2023-11-11,2078.853466304058
2023-11-12,2052.994586063755
2023-11-13,2046.0870799735535
2023-11-14,2060.5328561356905
2023-11-15,1980.5154306252414
2023-11-16,2061.635532253063
2023-11-17,1962.243839589886
2023-11-18,1956.5174321166123
2023-11-19,1962.6305661102026
2023-11-20,2011.1267210635335
2023-11-21,2022.3881475372507
2023-11-22,1940.4448103653
2023-11-23,2065.9414413104028
2023-11-24,2062.269551857858
2023-11-25,2080.8517575183496
2023-11-26,2085.426621540017
2023-11-27,2064.0742181655314
2023-11-28,2030.000505811856
2023-11-29,2048.535256652576
2023-11-30,2025.9373276989
2023-12-01,2051.7567179446996
2023-12-02,2085.7123613209396
2023-12-03,2165.297880951399
2023-12-04,2190.7040403697074
2023-12-05,2242.961542677477
2023-12-06,2294.0951698534136
2023-12-07,2232.0254402104606
2023-12-08,2354.386930946088
2023-12-09,2359.8890564833255
2023-12-10,2341.07248115182
2023-12-11,2352.0987284889175
2023-12-12,2222.3468384000316
2023-12-13,2200.3337161808727
2023-12-14,2260.8823525751127
2023-12-15,2317.4650743736975
2023-12-16,2219.9516178764084
2023-12-17,2227.936447135476
2023-12-18,2199.5401211883855
2023-12-19,2216.929013563485
2023-12-20,2176.8394126574362
2023-12-21,2198.421404460542
2023-12-22,2236.186961753279
2023-12-23,2327.048962711535
2023-12-24,2310.955662998272
2023-12-25,2264.911143671657
2023-12-26,2273.6326121146535
2023-12-27,2230.8761843957795
2023-12-28,2376.771249284193
2023-12-29,2345.2607087446872
2023-12-30,2299.5262072752594
2023-12-31,2294.3440063451
2024-01-01,2279.9410085689606
2024-01-02,2350.0262860085095
2024-01-03,2360.7821195890947
2024-01-04,2211.1708278638766
2024-01-05,2270.977439333732
2024-01-06,2267.087035484658
2024-01-07,2241.5108270042424
2024-01-08,2220.151561688879
2024-01-09,2331.6603294356382
2024-01-10,2341.160624264102
2024-01-11,2588.769163919145
2024-01-12,2618.3298618964914
2024-01-13,2524.5016938912413
2024-01-14,2575.9247354333543
2024-01-15,2477.9374784307734
2024-01-16,2515.3199803936955
2024-01-17,2589.4826316304293
2024-01-18,2528.3287854519394
2024-01-19,2467.3289785137254
2024-01-20,2489.6180646533794
2024-01-21,2470.2636151036777
2024-01-22,2454.909543339834
2024-01-23,2307.5870034987734
2024-01-24,2241.942776155338
2024-01-25,2236.7393130974074
2024-01-26,2219.6145274459245
2024-01-27,2268.8707315074744
2024-01-28,2267.907851752534
2024-01-29,2257.0544646456055
2024-01-30,2314.59472753004
