timestamp,price,trailing_stop_loss,tsl_value,hold_value
2023-08-06,1835.0705778421905,1835.0705778421905,10000.0,10000.0
2023-08-07,1826.7067792702176,1835.0705778421905,9954.422469233812,9954.422469233812
2023-08-08,1826.933485573052,1835.0705778421905,10000.0,9955.65787840865
2023-08-09,1856.8441445120409,1835.0705778421905,10000.0,10118.652475456574
2023-08-10,1855.8907273266504,1835.0705778421905,10113.456941307084,10113.456941307084
2023-08-11,1850.876988699349,1835.0705778421905,10086.135165851469,10086.135165851469
2023-08-12,1847.541835114324,1835.0705778421905,10067.960640984164,10067.960640984164
2023-08-13,1848.505238656101,1835.0705778421905,10073.21059460126,10073.21059460126
2023-08-14,1839.512809542205,1835.0705778421905,10024.207416072455,10024.207416072455
2023-08-15,1843.5133910053464,1835.0705778421905,10046.008111432333,10046.008111432333
2023-08-16,1826.9131281594616,1835.0705778421905,9955.546943091851,9955.546943091851
2023-08-17,1809.4604742643007,1835.0705778421905,10000.0,9860.44077057786
2023-08-18,1675.862170945784,1835.0705778421905,10000.0,9132.412623150358
2023-08-19,1660.6791095302815,1835.0705778421905,10000.0,9049.674326330429
2023-08-20,1669.233454808334,1835.0705778421905,10000.0,9096.290218827115
2023-08-21,1682.461825140931,1835.0705778421905,10000.0,9168.376657857443
2023-08-22,1666.8404654985095,1835.0705778421905,10000.0,9083.249906706595
2023-08-23,1635.191294137295,1835.0705778421905,10000.0,8910.781491903554
2023-08-24,1679.123993491918,1835.0705778421905,10000.0,9150.18753919729
2023-08-25,1658.3996538851384,1835.0705778421905,10000.0,9037.252702483003
2023-08-26,1653.4293196573103,1835.0705778421905,10000.0,9010.167454166982
2023-08-27,1645.9049996794286,1835.0705778421905,10000.0,8969.164562677493
2023-08-28,1656.9310584772877,1835.0705778421905,10000.0,9029.249765562847
2023-08-29,1653.198566161456,1835.0705778421905,10000.0,9008.90999029262
2023-08-30,1730.1902578762465,1835.0705778421905,10000.0,9428.467105122083
2023-08-31,1705.1081032258105,1835.0705778421905,10000.0,9291.784870916521
2023-09-01,1645.1815254166893,1835.0705778421905,10000.0,8965.222075279597
2023-09-02,1630.6058904999302,1835.0705778421905,10000.0,8885.793877297707
2023-09-03,1636.1621989563407,1835.0705778421905,10000.0,8916.072322843622
2023-09-04,1635.4030431134638,1835.0705778421905,10000.0,8911.935392896385
2023-09-05,1630.6275466678564,1835.0705778421905,10000.0,8885.9118900226
2023-09-06,1633.077003857269,1835.0705778421905,10000.0,8899.259917172012
2023-09-07,1632.9024163463462,1835.0705778421905,10000.0,8898.30852318733
2023-09-08,1646.3050827277937,1835.0705778421905,10000.0,8971.344767914261
2023-09-09,1636.354258593187,1835.0705778421905,10000.0,8917.118929111333
2023-09-10,1634.4459462937054,1835.0705778421905,10000.0,8906.719807014757
2023-09-11,1617.486179584741,1835.0705778421905,10000.0,8814.299564906647
2023-09-12,1549.8934231592937,1835.0705778421905,10000.0,8445.96083591385
2023-09-13,1594.974501393525,1835.0705778421905,10000.0,8691.62483804308
2023-09-14,1607.736697039678,1835.0705778421905,10000.0,8761.170913274473
2023-09-15,1626.436340686946,1835.0705778421905,10000.0,8863.072408906628
2023-09-16,1641.9347582842215,1835.0705778421905,10000.0,8947.529201928179
2023-09-17,1634.4198849990876,1835.0705778421905,10000.0,8906.577789073144
2023-09-18,1622.47877705834,1835.0705778421905,10000.0,8841.506134146452
2023-09-19,1636.6346089914616,1835.0705778421905,10000.0,8918.646665437444
2023-09-20,1643.69841825706,1835.0705778421905,10000.0,8957.140058285062
2023-09-21,1621.5329552921687,1835.0705778421905,10000.0,8836.351990335354
2023-09-22,1583.824247006604,1835.0705778421905,10000.0,8630.862845989172
2023-09-23,1593.47015355046,1835.0705778421905,10000.0,8683.427072457225
2023-09-24,1593.1799744357936,1835.0705778421905,10000.0,8681.845775704009
2023-09-25,1580.4777945863666,1835.0705778421905,10000.0,8612.626749456183
2023-09-26,1588.471183440202,1835.0705778421905,10000.0,8656.185776287917
2023-09-27,1592.4861256187212,1835.0705778421905,10000.0,8678.06472866718
2023-09-28,1597.4168102614992,1835.0705778421905,10000.0,8704.933911260558
2023-09-29,1652.196396535431,1835.0705778421905,10000.0,9003.44878548597
2023-09-30,1667.9888487709648,1835.0705778421905,10000.0,9089.50788548039
2023-10-01,1670.9989557571496,1835.0705778421905,10000.0,9105.911107364773
2023-10-02,1733.8180349156962,1835.0705778421905,10000.0,9448.236246882916
2023-10-03,1665.2764251106737,1835.0705778421905,10000.0,9074.726853660457
2023-10-04,1656.3220030722484,1835.0705778421905,10000.0,9025.930790192671
2023-10-05,1648.1933725281149,1835.0705778421905,10000.0,8981.634779770598
2023-10-06,1612.9948892467298,1835.0705778421905,10000.0,8789.824809590738
2023-10-07,1646.393402292886,1835.0705778421905,10000.0,8971.82605493482
2023-10-08,1635.0828552489816,1835.0705778421905,10000.0,8910.190567011494
2023-10-09,1634.2216551482747,1835.0705778421905,10000.0,8905.497558954443
2023-10-10,1580.1777604853462,1835.0705778421905,10000.0,8610.99174912081
2023-10-11,1567.4582264892952,1835.0705778421905,10000.0,8541.678153504192
2023-10-12,1564.9162030441023,1835.0705778421905,10000.0,8527.825697495759
2023-10-13,1536.812804708381,1835.0705778421905,10000.0,8374.67955328169
2023-10-14,1550.9668729956577,1835.0705778421905,10000.0,8451.810473793315
2023-10-15,1555.4562079337263,1835.0705778421905,10000.0,8476.274573388588
2023-10-16,1557.7608092483292,1835.0705778421905,10000.0,8488.833225586657
2023-10-17,1601.2321896426622,1835.0705778421905,10000.0,8725.725369786634
